# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1757826455602000000,1757826515730000000,48
FileNameCache.queries,1757826455602000000,1757826515730000000,858
FileNameCache.fastMisses,1757826455602000000,1757826515730000000,48
AWTEventQueue.dispatchTimeAvgNs,1757826455602000000,1757826515730000000,1.2116995119713262E8
FlushQueue.tasksExecuted,1757826455602000000,1757826515730000000,163
FlushQueue.queueSizeAvg,1757826455602000000,1757826515730000000,3.3006134969325154
FlushQueue.waitingTime90PNs,1757826455602000000,1757826515730000000,12079595519
AWTEventQueue.dispatchTime90PNs,1757826455602000000,1757826515730000000,9240575
FlushQueue.queueSize90P,1757826455602000000,1757826515730000000,15
FlushQueue.waitingTimeMaxNs,1757826455602000000,1757826515730000000,31004295167
FlushQueue.executionTimeAvgNs,1757826455602000000,1757826515730000000,4.164542910429448E7
FlushQueue.queueSizeMax,1757826455602000000,1757826515730000000,20
FlushQueue.executionTime90PNs,1757826455602000000,1757826515730000000,7274495
AWTEventQueue.dispatchTimeMaxNs,1757826455602000000,1757826515730000000,31406948351
AWTEventQueue.eventsDispatched,1757826455602000000,1757826515730000000,279
FlushQueue.executionTimeMaxNs,1757826455602000000,1757826515730000000,5939134463
FlushQueue.waitingTimeAvgNs,1757826455602000000,1757826515730000000,2.7746370828957057E9
StorageLockContext.competingThreads.90P,1757826455602000000,1757826515730000000,15
FilePageCache.capacityInBytes,1757826455602000000,1757826515730000000,524288000
FilePageCache.disposedBuffers,1757826455602000000,1757826515730000000,5
DirectByteBufferAllocator.reclaimed,1757826455602000000,1757826515730000000,0
DirectByteBufferAllocator.hits,1757826455602000000,1757826515730000000,0
FilePageCache.maxCacheSizeInBytes,1757826455602000000,1757826515730000000,245415936
FilePageCache.maxRegisteredFiles,1757826455602000000,1757826515730000000,838
StorageLockContext.competingThreads.avg,1757826455602000000,1757826515730000000,4.488095238095238
